subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
215,K,12,0,4,,,,,,,6,0,3,,,,,,
215,L,0,0,0,,,,,,,0,0,0,,,,,,
215,Either,4,0,0,8,1,39,0,2,0,1,0,1,10,1,46,0,3,
215,Integrated,9,0,0,,,,,,,9,0,0,,,,,,
301,A,14,0,11,,,,,,,18,0,3,,,,,,
301,B,57,0,12,,,,,,,50,0,6,,,,,,
301,C,31,0,22,,,,,,,32,0,14,,,,,,
301,D,49,0,26,,,,,,,51,0,12,,,,,,
301,E,114,2,47,,,,,,,76,4,38,,,,,,
301,F,18,0,2,,,,,,,10,0,1,,,,,,
301,G,63,0,8,,,,,,,55,0,5,,,,,,
301,H,37,0,7,,,,,,,20,1,9,,,,,,
301,I,20,0,1,,,,,,,20,0,3,,,,,,
301,J,52,0,16,,,,,,,48,0,12,,,,,,
301,K,20,0,5,,,,,,,17,0,3,,,,,,
301,L,19,0,1,,,,,,,10,0,4,,,,,,
301,Either,0,0,1,41,15,228,0,0,0,2,0,0,60,22,313,1,0,character switch with Larry
